부처명,번호,사업명,페이지_시작,페이지_끝,총괄표_찾음,총괄표_라인번호,has_추경,has_요구,서브앵커_라인,수집라인,추출숫자,숫자개수,매핑방법,budget_2024,budget_2025,budget_2025_sup,budget_2026_req,budget_2026,change_amount,change_rate,총괄표_원문,fallback_표구조
과학기술정보통신부,77,"SW컴퓨팅산업원천기술개발(R&D,정보화)",619,628,True,92,True,True,94.0,"연구개발활동비등 | 111,814 | 94,695 | 94,695 | 77,201 | 77,201 | △17,494 | △18.5","111,814 | 94,695 | 94,695 | 77,201 | 77,201 | △17,494 | △18.5",7,7열(1차(break)),111814.0,94695.0,94695.0,77201.0,77201.0,-17494.0,-18.5,"- 619 -

가. 지출계획 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
연구개발활동비등
(360-05)
111,814
94,695
94,695
77,201
77,201
△17,494
△18.5
□기능별(내역사업별) 계획 내역
(단위: 백만원)
나. 사업설명자료
1) 사업목적·내용
- (SW컴퓨팅산업원천기술개발) 4차 산업혁명을 견인하는 지능화‧융합 SW기술 확보를 통한 
SW기술 선진국 도약
- (응용기반SW핵심기술) 비대면 업무환경 등 차세대 디지털 워크 환경을 지원하고 소프트웨어
서비스를 자율화, 지능화하여 디지털 혁신을 지원하기 위한 핵심기술 개발
- (빅데이터핵심기술) 데이터 수집‧유통‧활용의 생태계 지원 및 AI · 4차 산업혁명을 견인
하는빅데이터의 지능화·융합 핵심기술 개발
- (컴퓨팅핵심기술) 클라우드를 포함한 초고성능 컴퓨팅, 엣지 컴퓨팅, 데이터 중심 컴퓨팅등
미래형 컴퓨팅 아키텍처 및 SW 자체의 신뢰성 확보를 지원하는 SW핵심기술 개발
- (SW스타랩) SW 기반기술 분야별 연구거점(대학)을 구축하여 대학의 다양한 창의성을
바탕으로 실전적 SW 연구개발 지원
2024
2025(’25.12월말)
2026계",
과학기술정보통신부,78,World Best LLM 데이터 활용 지원,629,636,True,70,True,True,72.0,"LLM 데이터 | 활용지원 | - | - | 30,000 | 30,000 | 30,000 | - | -","DASH | DASH | 30,000 | 30,000 | 30,000 | DASH | DASH",7,7열(1차(break)),,,30000.0,30000.0,30000.0,,,"- 629 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
World Best
LLM 데이터
활용지원
-
-
30,000
30,000
30,000
-
-
※ 방송통신미디어위원회로 이관된 내역사업(WBL 차세대 데이터 구축, ‘25추경 20,000백만원)은 제외하고 작성
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)",
과학기술정보통신부,79,가상융합기반피지컬AI핵심기술개발(R&D),637,641,True,69,True,True,71.0,"AI핵심기술개발 | (R&D) | - | - | - | 5,063 | 5,063 | 5,063 | 순증","DASH | DASH | DASH | 5,063 | 5,063 | 5,063 | 순증",7,7열(1차(break)),,,,5063.0,5063.0,5063.0,,"- 637 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
가상융합기반피지컬
AI핵심기술개발
(R&D)
-
-
-
5,063
5,063
5,063
순증
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)
예산",
과학기술정보통신부,80,가상융합지능화핵심기술개발(R&D),642,648,True,69,True,True,71.0,"핵심기술개발 | (R&D) | - | - | - | 10,000 | 10,000 | 10,000 | 순증","DASH | DASH | DASH | 10,000 | 10,000 | 10,000 | 순증",7,7열(1차(break)),,,,10000.0,10000.0,10000.0,,"- 642 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
가상융합지능화
핵심기술개발
(R&D)
-
-
-
10,000
10,000
10,000
순증
* 추경: 추경증감액을 포함한 최종 예산액을 기재
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)",
과학기술정보통신부,81,강원 의료 AX 산업 실증 허브 조성,649,655,True,73,True,True,75.0,"산업 실증 허브 | 조성 | - | - | - | 2,000 | 2,000 | 2,000 | 순증","DASH | DASH | DASH | 2,000 | 2,000 | 2,000 | 순증",7,7열(1차(break)),,,,2000.0,2000.0,2000.0,,"- 649 -

가. 예산안 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
강원 의료 AX
산업 실증 허브 
조성
-
-
-
2,000
2,000
2,000
순증
□기능별(내역사업별), 목별 예산안 내역
(단위: 백만원)
나. 사업설명자료
1) 사업목적·내용
◦지역(강원)이 보유한 의료데이터와 인공지능(AI)을 결합한 의료 AX(AI 전환)
기술을 실제 의료 현장에 적용·검증하여, 병원 환경에서 신속하게 실증하고 산
업화로 확산할 수 있는 「의료 AX 산업 실증 허브」를 조성하고자 함.
* 조기진단 ‣ 예후예측 ‣ 치료설계 ‣ 회복관리 ⇨ ‘암 특화 전주기 서비스’ 개발 및 실증
- (진료지원 다기능 피지컬 AI) 의료·간호·간병 환경에서 환자 상태를 실시간으로 
인식·분석하고, 의료진의 진료 및 돌봄 업무를 보조하는 피지컬AI
- (암치료 특화 에이전트형 AI) 영상, 임상, 생체신호 등 다양한 의료데이터를 
종합 추론하여 진단 보조, 예후 예측, 치료·관리 계획 수립 등 의료진의 의사
결정을 지원하는 자율형 AI 에이전트 서비스 개발·실증
2024
2025
2026예",
과학기술정보통신부,82,거대인공신경망인공지능반도체SW기술개발(R&D),656,662,True,68,True,True,70.0,"인공지능반도체 | SW기술개발(R&D) | 5,330 | 5,330 | - | 4,800 | 4,800 | △530 | △9.9","5,330 | 5,330 | DASH | 4,800 | 4,800 | △530 | △9.9",7,7열(1차(break)),5330.0,5330.0,,4800.0,4800.0,-530.0,-9.9,"- 656 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
거대인공신경망 
인공지능반도체 
SW기술개발(R&D)
5,330
5,330
-
4,800
4,800
△530
△9.9
* 추경: 추경증감액을 포함한 최종 예산액을 기재
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)",
과학기술정보통신부,83,건전정보문화조성(정보화),663,672,True,80,True,True,82.0,"4,883 | 4,194 | - | 10,157 | 10,157 | 5,963 | 142.2","4,883 | 4,194 | DASH | 10,157 | 10,157 | 5,963 | 142.2",7,7열(1차(break)),4883.0,4194.0,,10157.0,10157.0,5963.0,142.2,"- 663 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
건전정보문화조성
4,883
4,194
-
10,157
10,157
5,963
142.2
* 추경: 추경증감액을 포함한 최종 예산액을 기재
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)
예산
현액",
과학기술정보통신부,84,경량·저전력 AI 한계극복기술개발(R&D),673,678,True,68,True,True,70.0,"한계극복기술개발 | (R&D) | - | - | - | 9,000 | 9,000 | 9,000 | 순증","DASH | DASH | DASH | 9,000 | 9,000 | 9,000 | 순증",7,7열(1차(break)),,,,9000.0,9000.0,9000.0,,"- 673 -

가. 예산안 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경(A)
요구안
본예산(B)
(B-A)/A
경량·저전력AI
한계극복기술개발
(R&D)
-
-
-
9,000
9,000
9,000
순증
□기능별(내역사업별), 목별 예산안 내역
(단위: 백만원)
나. 사업설명자료
1) 사업목적·내용
- (경량·저전력AI한계극복기술개발) AI 모델 거대화에 따른 고비용·저효율 등 문제 
해결과 엣지·온디바이스 AI 뒷받침 위한 AI 알고리즘의 획기적 개선, 확장 또는 
대체 가능한 한계극복 기술개발
2) 사업개요
□사업근거 및 추진경위
①법령상 근거 및 조항
- 과학기술 기본법 제11조(국가연구개발사업의 추진)
2024
2025
2026
예산
예산액",
과학기술정보통신부,85,경쟁형 AI혁신인재 성장 지원,679,684,True,68,True,True,70.0,"경쟁형 AI | 혁신인재 성장 지원 | - | - | - | 13,000 | 13,000 | 13,000 | 순증","DASH | DASH | DASH | 13,000 | 13,000 | 13,000 | 순증",7,7열(1차(break)),,,,13000.0,13000.0,13000.0,,"- 679 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
경쟁형 AI
혁신인재 성장 지원
-
-
-
13,000
13,000
13,000
순증
* 추경: 추경증감액을 포함한 최종 예산액을 기재
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)
예산",
과학기술정보통신부,86,고성능 AI(Hyper-AI) 네트워크 기반조성 사업,685,689,True,69,True,True,71.0,"고성능 | AI(Hyper-AI) | 네트워크 | 기반조성 사업 | - | - | - | 8,300 | 8,300 | 8,300 | 순증","DASH | DASH | DASH | 8,300 | 8,300 | 8,300 | 순증",7,7열(1차(break)),,,,8300.0,8300.0,8300.0,,"- 685 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
고성능 
AI(Hyper-AI)
네트워크 
기반조성 사업
-
-
-
8,300
8,300
8,300
순증
* 추경: 추경증감액을 포함한 최종 예산액을 기재
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액",
과학기술정보통신부,87,공공AX프로젝트,690,696,True,69,True,True,71.0,"15,000 | 15,000 | 60,000 | 60,000 | 45,000 | 300%","15,000 | 15,000 | 60,000 | 60,000 | 45,000 | 300",6,6열A-추경(1차(break)),15000.0,15000.0,60000.0,,60000.0,45000.0,300.0,"- 690 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
공공AX 프로젝트
15,000
15,000
60,000
60,000
45,000
300%
* 추경: 추경증감액을 포함한 최종 예산액을 기재
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)
예산
현액
집행액",
과학기술정보통신부,88,공공행정서비스혁신기술개발(R&D),697,717,True,67,True,True,69.0,"기술개발(R&D) | 7,047 | 11,324 | 11,324 | 11,054 | 9,804 | △1,520 △13.4%","7,047 | 11,324 | 11,324 | 11,054 | 9,804 | △1,520 | △13.4",7,7열(1차(break)),7047.0,11324.0,11324.0,11054.0,9804.0,-1520.0,-13.4,"- 697 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
공공행정서비스혁신
기술개발(R&D)
7,047
11,324
11,324
11,054
9,804
△1,520 △13.4%
□기능별(내역사업별) 예산 내역
(단위: 백만원)
나. 사업설명자료
1) 사업목적·내용
- (공공행정서비스혁신기술개발(R&D)) 치안, 관세, 경호 등 공공행정 서비스의 첨단화,
고도화를 위해 공공행정 현장에서 요구하는 기술을 과학기술정보통신부와 현장부처가 
협업하여 개발 및 현장에 적용하는 R&D 사업
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액불용액
예산액",
과학기술정보통신부,89,공존가능한 신뢰 AI를 위한 AI Safety 기술개발,718,723,True,71,True,True,73.0,"AI를 위한 AI | Safety 기술개발 | - | 7,950 | 7,950 | 7,950 | 7,950","DASH | 7,950 | 7,950 | 7,950 | 7,950",5,5열(1차(break)),,7950.0,,,7950.0,7950.0,7950.0,"- 718 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
공존가능한 신뢰 
AI를 위한 AI
Safety 기술개발
-
7,950
7,950
7,950
7,950
- 전년동
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)
예산
현액",
과학기술정보통신부,90,과학기술혁신인재양성(R&D),724,742,True,146,True,True,148.0,"과학기술 | 혁신인재양성 | 52,120 | 59,850 | 59,850 | 76,881 | 76,881 | 17,031 | 28.4","52,120 | 59,850 | 59,850 | 76,881 | 76,881 | 17,031 | 28.4",7,7열(1차(break)),52120.0,59850.0,59850.0,76881.0,76881.0,17031.0,28.4,"- 725 -

가. 예산안 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년
증감
(B-A)
본예산
추경(A)
요구안
본예산(B)
(B-A)/A
과학기술
혁신인재양성
52,120
59,850
59,850
76,881
76,881
17,031
28.4
□기능별(내역사업별), 목별 예산안 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액이월액불용액
예산액
(추경)
예산
현액
집행액
이월액",
과학기술정보통신부,91,과학기술혁신정책 지원(R&D),743,748,True,67,True,True,69.0,"정책지원(R&D) | 9,720 | 8,751 | 8,751 | 9,139 | 8,936 | 185 | 2.1","9,720 | 8,751 | 8,751 | 9,139 | 8,936 | 185 | 2.1",7,7열(1차(break)),9720.0,8751.0,8751.0,9139.0,8936.0,185.0,2.1,"- 743 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경(A)
요구안
본예산(B)
(B-A)/A
과학기술혁신
정책지원(R&D)
9,720
8,751
8,751
9,139
8,936
185
2.1
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)
예산
현액",
과학기술정보통신부,92,광주 AI 실증도시 실현(기본계획수립 용역비),749,752,True,72,True,True,74.0,수립 용역비) | - | - | - | - | 500 | 500 | 순증,DASH | DASH | DASH | DASH | 500 | 500 | 순증,7,7열(1차(break)),,,,,500.0,500.0,,"- 749 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
광주 AI 실증도시 
실현(기본계획 
수립 용역비)
-
-
-
-
500
500
순증
* 추경: 추경증감액을 포함한 최종 예산액을 기재
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)",
과학기술정보통신부,93,광주과학기술원 연구 운영비 지원(R&D),753,761,True,70,True,True,72.0,"연구운영비 | 지원(R&D) | 93,124 | 97,634 | 101,384 | 117,461 | 120,610 | 22,976 | 23.5","93,124 | 97,634 | 101,384 | 117,461 | 120,610 | 22,976 | 23.5",7,7열(1차(break)),93124.0,97634.0,101384.0,117461.0,120610.0,22976.0,23.5,"- 753 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
광주과학기술원
연구운영비 
지원(R&D)
93,124
97,634
101,384
117,461
120,610
22,976
23.5
* 추경: 추경증감액을 포함한 최종 예산액을 기재
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)",
과학기술정보통신부,94,국가 AI데이터센터 고도화,762,765,True,70,True,True,72.0,"국가 | AI데이터센터 | 고도화 | - | - | - | - | 19,151 | 19,151 | 순증","DASH | DASH | DASH | DASH | 19,151 | 19,151 | 순증",7,7열(1차(break)),,,,,19151.0,19151.0,,"- 762 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경*(A)
요구안
본예산(B)
(B-A)/A
국가 
AI데이터센터 
고도화
-
-
-
-
19,151
19,151
순증
* 추경: 추경증감액을 포함한 최종 예산액을 기재
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
이월액
불용액
예산액
(추경)",
